Rank,Handle,Participations,Rating
2001,ElliotNightlight,10,2151
2002,FlowerandYou,41,2151
2003,spiderg,33,2150
2004,okwedook,256,2150
2005,cSERAFIMc,95,2150
2006,_doctorZ,22,2150
2007,hcywoi,32,2150
2008,Fesdrer,13,2150
2009,asxziill,46,2150
2010,Cai1000,73,2150
2011,byyq,45,2150
2012,.I.,173,2149
2013,miss_robot,74,2149
2014,Ashbourne,13,2149
2015,Simak__Stepan,66,2149
2016,YamOCHca,67,2149
2017,tatata96,89,2149
2018,ooscode,155,2148
2019,__TRUE__,9,2148
2020,CoderAbhi27,112,2148
2021,Genteki,77,2148
2022,hanuta,10,2148
2023,Drawchill,12,2148
2024,1.618034,14,2148
2025,-firefly-,36,2148
2026,jonathanpaulson,84,2147
2027,achen.80,26,2147
2028,Valters07,228,2147
2029,slah007,121,2147
2030,Meguhine,59,2147
2031,efishel,37,2147
2032,EBeason,49,2147
2033,Tahirliyev,68,2147
2034,ordinary_newbie,9,2147
2035,vodacbaoan,155,2146
2036,BottleOfJuice,58,2146
2037,BRABABABABASHKIR,91,2146
2038,Son_of_Dijkstra,98,2146
2039,Etohari,116,2146
2040,xcc_szy0905,25,2146
2041,colecancode,66,2146
2042,zyh2009,7,2146
2043,Anlybt,39,2146
2044,rgw2010,24,2146
2045,konghaojie,22,2146
2046,heidiheize,16,2146
2047,pulkitagrawal,17,2146
2048,clue_,7,2146
2049,rgnerdplayer,92,2145
2050,yuto0518,26,2145
2051,pengin_2000,219,2145
2052,RGB_ICPC3,13,2145
2053,Rings,17,2145
2054,zzuqy,76,2145
2055,SSL_TJH,12,2145
2056,_helloLad,182,2145
2057,WDDZQB,10,2145
2058,zyc212139,15,2145
2059,xuhaotian,28,2145
2060,zkw465,45,2145
2061,Darko1,27,2145
2062,fight_for_NoConstructive,7,2145
2063,_Hoks,8,2145
2064,2018haha,43,2144
2065,miscalculation53,43,2144
2066,Terac,15,2144
2067,SharpSmile,18,2144
2068,jer033,11,2144
2069,Liudas,69,2144
2070,yzq_yzq,27,2144
2071,Hoks_,28,2144
